check_items_full,empapp_label,count,module_id,module_cn,module_en,matched_clause,match_score,match_method,match_confidence,text_severity,severity,severity_mismatch,check_items_preview
(L) Potable water supply is adequate for all operational needs,Grease traps&Residue traps&Sewer lines,1,10,饮用水与管道系统,"Potable Water, Pipes & Water Systems",10.1.2,1.0,text_match,high,L,L,False,(L) Potable water supply is adequate for all operational needs
(L) Potable water supply is adequate for all operational needs,Potable Water Supply is Adequate,1,10,饮用水与管道系统,"Potable Water, Pipes & Water Systems",10.1.2,1.0,text_match,high,L,G,True,(L) Potable water supply is adequate for all operational needs
(L) Potable water supply is adequate for all operational needs,Water Filtration Device,1,10,饮用水与管道系统,"Potable Water, Pipes & Water Systems",10.1.2,1.0,text_match,high,L,L,False,(L) Potable water supply is adequate for all operational needs
(L) Proper air gaps are maintained in plumbing connections,Grease traps&Residue traps&Sewer lines,1,10,饮用水与管道系统,"Potable Water, Pipes & Water Systems",10.3.1,1.0,text_match,high,L,O,True,(L) Proper air gaps are maintained in plumbing connections
(L) Water sinks and pipes are in good condition without leaks,Grease traps&Residue traps&Sewer lines,1,10,饮用水与管道系统,"Potable Water, Pipes & Water Systems",10.2.1,1.0,text_match,high,L,O,True,(L) Water sinks and pipes are in good condition without leaks
"Grease traps, residue traps and sewer line",Potable Water Supply is Adequate,1,10,饮用水与管道系统,"Potable Water, Pipes & Water Systems",10.2.2,0.9,text_match,high,,L,False,"Grease traps, residue traps and sewer line"
Potable water supply is adequate for al,Potable Water Supply is Adequate,1,10,饮用水与管道系统,"Potable Water, Pipes & Water Systems",10.1.2,0.9,text_match,high,,G,False,Potable water supply is adequate for al
Water sinks and pipes is in good condition without leaks,Potable Water Supply is Adequate,1,10,饮用水与管道系统,"Potable Water, Pipes & Water Systems",10.2.1,0.956,text_match,high,,M,False,Water sinks and pipes is in good condition without leaks
(L) Fire extinguisher is inspected and within service date is verified,Workplace Safety,1,11,工作场所安全,Workplace Safety,11.2.1,0.9,text_match,high,L,L,False,(L) Fire extinguisher is inspected and within service date is verified
Fire extinguisher is inspected and wi,Workplace Safety,1,11,工作场所安全,Workplace Safety,11.2.1,0.9,text_match,high,,O,False,Fire extinguisher is inspected and wi
Workplace safety procedures is posted and employees is trained,Workplace Safety,1,11,工作场所安全,Workplace Safety,11.1.1,0.921,text_match,high,,L,False,Workplace safety procedures is posted and employees is trained
(L) Corrective action records are maintained for all identified issues,Requirements,2,12,门店稽核管理,Store Audit Management Procedures,12.2.1,1.0,text_match,high,L,L,False,(L) Corrective action records are maintained for all identified issues
(G) Store audit management procedures and checklists are followed,Requirements,1,12,门店稽核管理,Store Audit Management Procedures,12.1.1,0.9,text_match,high,,L,False,(G) Store audit management procedures and checklists are followed
(L) Previous audit findings have been addre,Requirements,1,12,门店稽核管理,Store Audit Management Procedures,12.1.2,0.9,text_match,high,L,L,False,(L) Previous audit findings have been addre
(L) Store audit management procedures and checklists are followed,Requirements,1,12,门店稽核管理,Store Audit Management Procedures,12.1.1,1.0,text_match,high,L,L,False,(L) Store audit management procedures and checklists are followed
Corrective action records are maintained for all identified issues,Requirements,1,12,门店稽核管理,Store Audit Management Procedures,12.2.1,1.0,text_match,high,,L,False,Corrective action records are maintained for all identified issues
Full audit comprehensive check,Requirements,1,12,门店稽核管理,Store Audit Management Procedures,fallback,0.0,label_fallback,fallback,,O,False,Full audit comprehensive check
Previous audit findings have been addressed and documented,Requirements,1,12,门店稽核管理,Store Audit Management Procedures,12.1.2,1.0,text_match,high,,O,False,Previous audit findings have been addressed and documented
Store audit management procedures and ch,Requirements,1,12,门店稽核管理,Store Audit Management Procedures,12.1.1,0.9,text_match,high,,O,False,Store audit management procedures and ch
Store audit management procedures and checklists are followed is verified,Requirements,1,12,门店稽核管理,Store Audit Management Procedures,12.1.1,0.9,text_match,high,,O,False,Store audit management procedures and checklists are followed is verified
Store audit management procedures and checklists is followed,Requirements,1,12,门店稽核管理,Store Audit Management Procedures,12.1.1,0.959,text_match,high,,G,False,Store audit management procedures and checklists is followed
