check_items_full,empapp_label,count,module_id,module_cn,module_en,matched_clause,match_score,match_method,match_confidence,text_severity,severity,severity_mismatch,check_items_preview
Pest control service contract is current ,Insect Pest Control Facilities & Suppliers,2,9,虫害防控,Pests Control,9.1.1,0.9,text_match,high,,G,False,Pest control service contract is current 
(G) (L) Pest control service contract is current with licensed provider,No pests enter,1,9,虫害防控,Pests Control,9.1.1,0.9,text_match,high,,G,False,(G) (L) Pest control service contract is current with licensed provider
(L) (L) All entry points are sealed to prevent pests from entering,No pests enter,1,9,虫害防控,Pests Control,9.2.2,0.9,text_match,high,L,L,False,(L) (L) All entry points are sealed to prevent pests from entering
(L) All entry points are sealed to prevent pests from entering,No Sign of Insect Pests,1,9,虫害防控,Pests Control,9.2.2,1.0,text_match,high,L,G,True,(L) All entry points are sealed to prevent pests from entering
(L) Pest control service contract is current with licensed provider,No Sign of Insect Pests,1,9,虫害防控,Pests Control,9.1.1,1.0,text_match,high,L,L,False,(L) Pest control service contract is current with licensed provider
Pest control facilities including traps are properly maintained is verified,No Sign of Insect Pests,1,9,虫害防控,Pests Control,9.1.2,0.9,text_match,high,,G,False,Pest control facilities including traps are properly maintained is verified
Pest control facilities including traps is properly maintained,No Sign of Insect Pests,1,9,虫害防控,Pests Control,9.1.2,0.96,text_match,high,,G,False,Pest control facilities including traps is properly maintained
Water sinks and pipes are in good cond,Water Filtration Device,2,10,饮用水与管道系统,"Potable Water, Pipes & Water Systems",10.2.1,0.9,text_match,high,,S,False,Water sinks and pipes are in good cond
Water sinks and pipes are in good condition without leaks,Water Filtration Device,2,10,饮用水与管道系统,"Potable Water, Pipes & Water Systems",10.2.1,1.0,text_match,high,,G,False,Water sinks and pipes are in good condition without leaks
Water sinks and pipes is in good condition without leaks,Grease traps&Residue traps&Sewer lines,2,10,饮用水与管道系统,"Potable Water, Pipes & Water Systems",10.2.1,0.956,text_match,high,,L,False,Water sinks and pipes is in good condition without leaks
(G) (L) Water sinks and pipes are in good condition without leaks,Water Sinks & Pipes,1,10,饮用水与管道系统,"Potable Water, Pipes & Water Systems",10.2.1,0.9,text_match,high,,G,False,(G) (L) Water sinks and pipes are in good condition without leaks
"(G) Grease traps, residue traps and sewer lines are cleaned regularly",Potable Water Supply is Adequate,1,10,饮用水与管道系统,"Potable Water, Pipes & Water Systems",10.2.2,0.9,text_match,high,,O,False,"(G) Grease traps, residue traps and sewer lines are cleaned regularly"
(G) Potable water supply is adequate for all operational needs,Water Sinks & Pipes,1,10,饮用水与管道系统,"Potable Water, Pipes & Water Systems",10.1.2,0.9,text_match,high,,G,False,(G) Potable water supply is adequate for all operational needs
(G) Water sinks and pipes are in good condition without leaks,Water Sinks & Pipes,1,10,饮用水与管道系统,"Potable Water, Pipes & Water Systems",10.2.1,0.9,text_match,high,,L,False,(G) Water sinks and pipes are in good condition without leaks
(G) Water sinks and pipes are in good condition without leaks is verified,Grease traps&Residue traps&Sewer lines,1,10,饮用水与管道系统,"Potable Water, Pipes & Water Systems",10.2.1,0.9,text_match,high,,G,False,(G) Water sinks and pipes are in good condition without leaks is verified
"(L) Grease traps, residue traps and sewer lines are cleaned regularly",Potable Water Supply is Adequate,1,10,饮用水与管道系统,"Potable Water, Pipes & Water Systems",10.2.2,1.0,text_match,high,L,G,True,"(L) Grease traps, residue traps and sewer lines are cleaned regularly"
(L) Potable water supply is adequate for all operational needs,Grease traps&Residue traps&Sewer lines,1,10,饮用水与管道系统,"Potable Water, Pipes & Water Systems",10.1.2,1.0,text_match,high,L,L,False,(L) Potable water supply is adequate for all operational needs
(L) Potable water supply is adequate for all operational needs,Water Filtration Device,1,10,饮用水与管道系统,"Potable Water, Pipes & Water Systems",10.1.2,1.0,text_match,high,L,O,True,(L) Potable water supply is adequate for all operational needs
(L) Proper air gaps are maintained in plumbing connections,Grease traps&Residue traps&Sewer lines,1,10,饮用水与管道系统,"Potable Water, Pipes & Water Systems",10.3.1,1.0,text_match,high,L,O,True,(L) Proper air gaps are maintained in plumbing connections
"Grease traps, residue traps and sewer line",Grease traps&Residue traps&Sewer lines,1,10,饮用水与管道系统,"Potable Water, Pipes & Water Systems",10.2.2,0.9,text_match,high,,O,False,"Grease traps, residue traps and sewer line"
"Grease traps, residue traps and sewer lines are cleaned regularly is verified",Water Filtration Device,1,10,饮用水与管道系统,"Potable Water, Pipes & Water Systems",10.2.2,0.9,text_match,high,,L,False,"Grease traps, residue traps and sewer lines are cleaned regularly is verified"
Potable water supply is adequate for all operational needs,Water Sinks & Pipes,1,10,饮用水与管道系统,"Potable Water, Pipes & Water Systems",10.1.2,1.0,text_match,high,,O,False,Potable water supply is adequate for all operational needs
Water filtration device is installed and filter is changed on schedule,Potable Water Supply is Adequate,1,10,饮用水与管道系统,"Potable Water, Pipes & Water Systems",10.1.1,1.0,text_match,high,,O,False,Water filtration device is installed and filter is changed on schedule
Water sinks and pipes are in good condition without leaks,Water Sinks & Pipes,1,10,饮用水与管道系统,"Potable Water, Pipes & Water Systems",10.2.1,1.0,text_match,high,,G,False,Water sinks and pipes are in good condition without leaks
Fire extinguisher is inspected and within service date,Workplace Safety,2,11,工作场所安全,Workplace Safety,11.2.1,1.0,text_match,high,,S,False,Fire extinguisher is inspected and within service date
(G) Fire extinguisher is inspected and within service date,Workplace Safety,1,11,工作场所安全,Workplace Safety,11.2.1,0.9,text_match,high,,O,False,(G) Fire extinguisher is inspected and within service date
(L) First aid kit is stocked and accessible,Workplace Safety,1,11,工作场所安全,Workplace Safety,11.1.2,1.0,text_match,high,L,M,True,(L) First aid kit is stocked and accessible
(L) Workplace safety procedures are posted and employees are trained,Workplace Safety,1,11,工作场所安全,Workplace Safety,11.1.1,1.0,text_match,high,L,G,True,(L) Workplace safety procedures are posted and employees are trained
Fire extinguisher is inspected and within service date is verified,Workplace Safety,1,11,工作场所安全,Workplace Safety,11.2.1,0.9,text_match,high,,L,False,Fire extinguisher is inspected and within service date is verified
First aid kit is stocked and accessible,Workplace Safety,1,11,工作场所安全,Workplace Safety,11.1.2,1.0,text_match,high,,L,False,First aid kit is stocked and accessible
Previous audit findings have been addressed and documented,Requirements,4,12,门店稽核管理,Store Audit Management Procedures,12.1.2,1.0,text_match,high,,L,False,Previous audit findings have been addressed and documented
(L) Store audit management procedures and checklists are followed,Requirements,2,12,门店稽核管理,Store Audit Management Procedures,12.1.1,1.0,text_match,high,L,G,True,(L) Store audit management procedures and checklists are followed
Corrective action records are maintained fo,Requirements,2,12,门店稽核管理,Store Audit Management Procedures,12.2.1,0.9,text_match,high,,L,False,Corrective action records are maintained fo
(G) Previous audit findings have been addressed and documented,Requirements,1,12,门店稽核管理,Store Audit Management Procedures,12.1.2,0.9,text_match,high,,G,False,(G) Previous audit findings have been addressed and documented
(L) Corrective action records are maintained for all identified issues,Requirements,1,12,门店稽核管理,Store Audit Management Procedures,12.2.1,1.0,text_match,high,L,L,False,(L) Corrective action records are maintained for all identified issues
(L) Corrective action records are maintained for all identified issues is verified,Requirements,1,12,门店稽核管理,Store Audit Management Procedures,12.2.1,0.9,text_match,high,L,L,False,(L) Corrective action records are maintained for all identified issues is verifi
(L) Previous audit findings have been addre,Requirements,1,12,门店稽核管理,Store Audit Management Procedures,12.1.2,0.9,text_match,high,L,L,False,(L) Previous audit findings have been addre
(L) Store audit management procedures and ch,Requirements,1,12,门店稽核管理,Store Audit Management Procedures,12.1.1,0.9,text_match,high,L,L,False,(L) Store audit management procedures and ch
Corrective action records are maintained for all identified issues,Requirements,1,12,门店稽核管理,Store Audit Management Procedures,12.2.1,1.0,text_match,high,,S,False,Corrective action records are maintained for all identified issues
Corrective action records are maintained for all identified issues is verified,Requirements,1,12,门店稽核管理,Store Audit Management Procedures,12.2.1,0.9,text_match,high,,L,False,Corrective action records are maintained for all identified issues is verified
Store audit management procedures and checklists are followed is verified,Requirements,1,12,门店稽核管理,Store Audit Management Procedures,12.1.1,0.9,text_match,high,,O,False,Store audit management procedures and checklists are followed is verified
